怕剧堡疙,龋扁,斥岿老,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
措备,0,2017-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,50.0,50.0,70.0,70.0,60.0,50.0,30.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,60.0,60.0,70.0,70.0,60.0,60.0,30.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,70.0,80.0,70.0,70.0,70.0,50.0,30.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,30.0,40.0,20.0,20.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,50.0,50.0,60.0,50.0,50.0,30.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-22,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,50.0,70.0,70.0,70.0,80.0,60.0,50.0,20.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,70.0,70.0,80.0,70.0,70.0,50.0,30.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,60.0,70.0,80.0,70.0,80.0,60.0,50.0,40.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,40.0,50.0,40.0,40.0,30.0,20.0,10.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,40.0,50.0,70.0,60.0,50.0,50.0,20.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,60.0,70.0,70.0,80.0,70.0,70.0,40.0,30.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-28,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,60.0,60.0,80.0,70.0,70.0,60.0,40.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,70.0,70.0,70.0,70.0,60.0,40.0,30.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,30.0,50.0,70.0,60.0,70.0,60.0,50.0,50.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0,60.0,81.0,70.0,70.0,70.0,50.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-05-02,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,40.0,60.0,50.0,70.0,60.0,50.0,50.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,60.0,71.0,71.0,70.0,70.0,60.0,40.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,71.0,60.0,60.0,50.0,40.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-05-05,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,20.0,30.0,40.0,50.0,20.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
措备,0,2017-05-06,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,40.0,40.0,50.0,40.0,40.0,70.0,60.0,40.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
